epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2194,1.88164,2.69448,1.7635,0.65422,0.51222,0.58224,0.26234,1.82083,1.80845,1.92996,0.000416046,0.000416046,0.000416046
2,109.119,1.94015,2.12411,1.8473,0.63789,0.55701,0.60344,0.27605,1.80915,1.67839,1.93167,0.000816225,0.000816225,0.000816225
3,161.558,1.9475,2.06635,1.84689,0.65174,0.61007,0.66142,0.30009,1.84099,1.55011,1.91109,0.0011999,0.0011999,0.0011999
4,213.59,1.89197,1.95338,1.82408,0.69579,0.62954,0.68894,0.33039,1.7639,1.40246,1.84638,0.00117575,0.00117575,0.00117575
5,265.965,1.80873,1.77409,1.76188,0.76358,0.72266,0.79246,0.41304,1.65107,1.22052,1.75151,0.001151,0.001151,0.001151
6,318.615,1.73289,1.59038,1.6921,0.83255,0.76934,0.83873,0.4287,1.61369,1.10973,1.73654,0.00112625,0.00112625,0.00112625
7,370.676,1.70129,1.49526,1.67325,0.87371,0.7774,0.8855,0.46594,1.57227,1.04127,1.69973,0.0011015,0.0011015,0.0011015
8,422.62,1.63543,1.3838,1.62136,0.88228,0.77894,0.87153,0.46911,1.53805,0.99241,1.67591,0.00107675,0.00107675,0.00107675
9,474.557,1.61921,1.30956,1.58954,0.85505,0.83584,0.8935,0.47698,1.58167,0.97639,1.71701,0.001052,0.001052,0.001052
10,526.599,1.59138,1.25466,1.56864,0.88621,0.82796,0.90032,0.49746,1.49206,0.93576,1.62896,0.00102725,0.00102725,0.00102725
11,578.422,1.55661,1.20124,1.54551,0.90037,0.82328,0.90292,0.50206,1.50006,0.8803,1.63926,0.0010025,0.0010025,0.0010025
12,630.564,1.52026,1.13914,1.51995,0.90201,0.83726,0.91684,0.49179,1.57084,0.84477,1.67473,0.00097775,0.00097775,0.00097775
13,682.473,1.51142,1.10887,1.51098,0.92229,0.84814,0.92604,0.53175,1.46065,0.76802,1.62079,0.000953,0.000953,0.000953
14,734.533,1.46532,1.05888,1.48758,0.84766,0.87196,0.92296,0.52283,1.47017,0.79367,1.61213,0.00092825,0.00092825,0.00092825
15,786.563,1.46604,1.02753,1.47277,0.89804,0.87168,0.9217,0.52333,1.47899,0.76998,1.58891,0.0009035,0.0009035,0.0009035
16,838.401,1.42693,0.99214,1.43879,0.88303,0.88402,0.92413,0.52682,1.48959,0.74928,1.61684,0.00087875,0.00087875,0.00087875
17,890.397,1.41677,0.95303,1.43902,0.94597,0.88407,0.94288,0.54341,1.41602,0.70958,1.55254,0.000854,0.000854,0.000854
18,942.639,1.37939,0.92699,1.40467,0.93796,0.89567,0.94429,0.54832,1.43548,0.68663,1.56115,0.00082925,0.00082925,0.00082925
19,994.714,1.38778,0.91677,1.41679,0.943,0.90446,0.94976,0.548,1.41388,0.67999,1.57102,0.0008045,0.0008045,0.0008045
20,1046.76,1.35264,0.89473,1.39279,0.92014,0.89555,0.93497,0.54996,1.42711,0.68381,1.58122,0.00077975,0.00077975,0.00077975
21,1099.16,1.33444,0.86497,1.37437,0.93365,0.90887,0.94854,0.55701,1.41397,0.68046,1.56315,0.000755,0.000755,0.000755
22,1151.25,1.31253,0.83112,1.35815,0.93191,0.90152,0.948,0.54805,1.42153,0.67688,1.55927,0.00073025,0.00073025,0.00073025
23,1203.48,1.30407,0.82525,1.35906,0.94583,0.90446,0.95275,0.56038,1.38763,0.65029,1.52997,0.0007055,0.0007055,0.0007055
24,1255.71,1.27613,0.79924,1.3376,0.91613,0.90368,0.94139,0.55974,1.37244,0.64578,1.51715,0.00068075,0.00068075,0.00068075
25,1308.18,1.25724,0.78348,1.3298,0.91464,0.91048,0.95021,0.56187,1.37736,0.62814,1.52095,0.000656,0.000656,0.000656
26,1360.84,1.25375,0.77046,1.32792,0.95218,0.93202,0.96361,0.56662,1.39766,0.60187,1.55849,0.00063125,0.00063125,0.00063125
27,1413.24,1.23875,0.74992,1.30634,0.94613,0.92009,0.95562,0.57654,1.3917,0.61011,1.54033,0.0006065,0.0006065,0.0006065
28,1465.31,1.21914,0.72407,1.29781,0.95873,0.90882,0.95915,0.57634,1.3758,0.60075,1.52262,0.00058175,0.00058175,0.00058175
29,1517.57,1.18671,0.70485,1.28026,0.94316,0.89889,0.95173,0.58574,1.34627,0.59575,1.49765,0.000557,0.000557,0.000557
30,1569.64,1.17911,0.71353,1.27665,0.94153,0.93026,0.96295,0.57792,1.38528,0.58516,1.55264,0.00053225,0.00053225,0.00053225
31,1621.85,1.16829,0.6799,1.26774,0.94297,0.92037,0.9523,0.57776,1.36772,0.56504,1.53844,0.0005075,0.0005075,0.0005075
32,1674.16,1.15771,0.67323,1.25853,0.96467,0.91713,0.96204,0.58761,1.36403,0.56923,1.53185,0.00048275,0.00048275,0.00048275
33,1726.22,1.13244,0.65748,1.24586,0.96376,0.92991,0.96589,0.58732,1.36701,0.56656,1.52754,0.000458,0.000458,0.000458
34,1778.18,1.11062,0.64332,1.22849,0.94862,0.92519,0.96067,0.5909,1.34996,0.55932,1.51436,0.00043325,0.00043325,0.00043325
35,1830.42,1.10243,0.63637,1.22594,0.96708,0.92812,0.96936,0.59492,1.33744,0.53344,1.51666,0.0004085,0.0004085,0.0004085
36,1882.62,1.09187,0.6156,1.20827,0.96167,0.9375,0.9683,0.58465,1.37458,0.55435,1.55785,0.00038375,0.00038375,0.00038375
37,1934.72,1.07275,0.61042,1.20071,0.95401,0.94612,0.96785,0.58155,1.38883,0.54819,1.56123,0.000359,0.000359,0.000359
38,1986.6,1.05283,0.59161,1.19403,0.95756,0.93012,0.96177,0.59416,1.36819,0.54814,1.54597,0.00033425,0.00033425,0.00033425
39,2038.51,1.03651,0.58257,1.17664,0.95815,0.93773,0.96625,0.58404,1.3589,0.54408,1.54412,0.0003095,0.0003095,0.0003095
40,2090.25,1.01896,0.57606,1.17434,0.9763,0.93015,0.97315,0.58868,1.37119,0.54337,1.5565,0.00028475,0.00028475,0.00028475
41,2143.34,0.94837,0.44533,1.1867,0.96266,0.93476,0.97016,0.58649,1.35869,0.53351,1.5317,0.00026,0.00026,0.00026
42,2195.05,0.919,0.42416,1.17019,0.95519,0.94064,0.96469,0.59474,1.34698,0.53706,1.53347,0.00023525,0.00023525,0.00023525
43,2246.57,0.88744,0.41361,1.14426,0.97008,0.94495,0.96761,0.60159,1.34716,0.52201,1.5579,0.0002105,0.0002105,0.0002105
44,2298.21,0.86358,0.39926,1.13148,0.97959,0.9254,0.96533,0.59866,1.34335,0.52865,1.55414,0.00018575,0.00018575,0.00018575
45,2350.38,0.84274,0.39222,1.1224,0.9748,0.94151,0.96915,0.60079,1.33943,0.51606,1.5695,0.000161,0.000161,0.000161
