epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.624,1.90018,2.6721,1.8524,0.46472,0.39857,0.38876,0.15548,1.95078,2.82402,2.11723,0.000416046,0.000416046,0.000416046
2,207.111,2.0602,2.47308,2.01616,0.38914,0.44719,0.38251,0.15265,1.96639,2.22987,2.09281,0.000816225,0.000816225,0.000816225
3,306.926,2.01368,2.34437,2.00465,0.52688,0.46975,0.46606,0.20062,1.94129,2.17988,2.07777,0.0011999,0.0011999,0.0011999
4,406.346,1.93776,2.20798,1.95228,0.73154,0.59102,0.68815,0.33664,1.71362,1.53517,1.87661,0.00117575,0.00117575,0.00117575
5,505.729,1.86056,1.96696,1.89423,0.75235,0.65524,0.73316,0.35279,1.75825,1.42188,1.90375,0.001151,0.001151,0.001151
6,605.258,1.75745,1.75466,1.8009,0.86363,0.71411,0.81876,0.40936,1.62151,1.23637,1.81072,0.00112625,0.00112625,0.00112625
7,705.068,1.70207,1.62501,1.76391,0.83193,0.78583,0.85308,0.44427,1.56924,1.12096,1.77077,0.0011015,0.0011015,0.0011015
8,804.681,1.66342,1.5153,1.7109,0.88452,0.80847,0.87864,0.47762,1.52445,1.01533,1.697,0.00107675,0.00107675,0.00107675
9,904.294,1.6191,1.39989,1.66449,0.88438,0.7775,0.8791,0.47992,1.55646,0.98959,1.74158,0.001052,0.001052,0.001052
10,1003.61,1.61061,1.33834,1.64863,0.87296,0.83575,0.89635,0.49896,1.51808,0.92405,1.6813,0.00102725,0.00102725,0.00102725
11,1102.93,1.56949,1.26394,1.62279,0.91117,0.79504,0.89469,0.50878,1.50503,0.8871,1.67418,0.0010025,0.0010025,0.0010025
12,1202.26,1.53187,1.19021,1.59866,0.94039,0.85173,0.92164,0.51361,1.47301,0.81398,1.67783,0.00097775,0.00097775,0.00097775
13,1301.61,1.50719,1.15318,1.57715,0.9124,0.83866,0.92796,0.5186,1.52763,0.81004,1.709,0.000953,0.000953,0.000953
14,1401.27,1.4692,1.08959,1.55579,0.93835,0.86985,0.93234,0.53511,1.4713,0.77064,1.65127,0.00092825,0.00092825,0.00092825
15,1500.97,1.45153,1.05872,1.53644,0.92062,0.88141,0.93883,0.5376,1.41902,0.748,1.62334,0.0009035,0.0009035,0.0009035
