epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.022,2.27335,3.55979,2.29934,0.4537,0.15061,0.11326,0.03764,2.53058,3.91274,2.88388,0.000416356,0.000416356,0.000416356
2,333.853,2.42939,3.52875,2.48617,0.19791,0.19243,0.11594,0.04027,2.27417,3.02785,2.5296,0.000816529,0.000816529,0.000816529
3,492.474,2.34586,3.35703,2.40801,0.1935,0.21487,0.17991,0.0751,2.17921,2.75492,2.43713,0.0012002,0.0012002,0.0012002
4,661.612,2.24779,3.1378,2.32918,0.29792,0.33036,0.27275,0.11349,2.00191,2.27734,2.3181,0.00117575,0.00117575,0.00117575
5,832.309,2.15814,2.90933,2.26122,0.41732,0.35209,0.32857,0.13391,1.93492,2.26896,2.23266,0.001151,0.001151,0.001151
6,1001.59,2.0539,2.67538,2.17992,0.46727,0.38311,0.39633,0.18115,1.80129,2.08179,2.13704,0.00112625,0.00112625,0.00112625
7,1168.37,2.00307,2.5459,2.13139,0.42034,0.42842,0.42428,0.18018,1.88541,1.99402,2.20633,0.0011015,0.0011015,0.0011015
8,1330.26,1.95152,2.41703,2.09217,0.58537,0.49832,0.54422,0.26543,1.73556,1.77752,2.05025,0.00107675,0.00107675,0.00107675
9,1493.11,1.90086,2.30721,2.05154,0.65019,0.55697,0.61059,0.29185,1.70321,1.68059,2.0284,0.001052,0.001052,0.001052
10,1654.87,1.85347,2.1576,2.00118,0.60866,0.58711,0.62747,0.30737,1.67076,1.61683,1.97982,0.00102725,0.00102725,0.00102725
11,1816.8,1.81819,2.04869,1.96275,0.68026,0.64755,0.71066,0.35632,1.64148,1.49011,1.91,0.0010025,0.0010025,0.0010025
12,1975.54,1.79301,1.99531,1.9419,0.71152,0.62006,0.69032,0.32891,1.64313,1.54018,1.98724,0.00097775,0.00097775,0.00097775
13,2135.85,1.77536,1.94836,1.93405,0.81296,0.67688,0.77272,0.3978,1.62018,1.34211,1.88817,0.000953,0.000953,0.000953
14,2296.86,1.75752,1.84895,1.90024,0.80431,0.72806,0.81421,0.41785,1.58433,1.30757,1.86995,0.00092825,0.00092825,0.00092825
15,2457.53,1.71335,1.78451,1.86592,0.80397,0.70377,0.81358,0.42714,1.60664,1.27245,1.85614,0.0009035,0.0009035,0.0009035
16,2617.98,1.69816,1.73512,1.82807,0.84866,0.71281,0.83167,0.44186,1.60819,1.1531,1.87391,0.00087875,0.00087875,0.00087875
17,2778.25,1.6846,1.64256,1.83062,0.8645,0.75158,0.8571,0.4665,1.56393,1.12357,1.8244,0.000854,0.000854,0.000854
18,2939.23,1.6671,1.63674,1.81716,0.84776,0.77795,0.87531,0.47653,1.53123,1.07299,1.81282,0.00082925,0.00082925,0.00082925
19,3099.35,1.63986,1.53562,1.7844,0.8272,0.80813,0.87729,0.47808,1.53016,1.05213,1.77409,0.0008045,0.0008045,0.0008045
20,3260.42,1.61064,1.49168,1.75891,0.86824,0.80935,0.88781,0.50607,1.48829,0.98565,1.73972,0.00077975,0.00077975,0.00077975
21,3420.61,1.60764,1.44494,1.74965,0.90423,0.77081,0.8792,0.48622,1.509,1.0448,1.77973,0.000755,0.000755,0.000755
22,3574.01,1.58115,1.3944,1.72987,0.90622,0.80296,0.90127,0.49435,1.51117,0.9454,1.76688,0.00073025,0.00073025,0.00073025
23,3727.67,1.57557,1.37034,1.72323,0.90702,0.82435,0.90801,0.51774,1.48335,0.9212,1.74225,0.0007055,0.0007055,0.0007055
24,3878.69,1.56033,1.34706,1.71832,0.8642,0.81495,0.89912,0.50134,1.49468,0.92105,1.73147,0.00068075,0.00068075,0.00068075
25,4030.47,1.53635,1.30639,1.68957,0.90358,0.83046,0.9174,0.51631,1.47528,0.87056,1.71715,0.000656,0.000656,0.000656
26,4182.19,1.51967,1.2812,1.67491,0.90955,0.85683,0.91494,0.52158,1.4757,0.85716,1.71775,0.00063125,0.00063125,0.00063125
27,4335.98,1.49378,1.23581,1.64604,0.88455,0.87613,0.93448,0.53196,1.46333,0.82313,1.71615,0.0006065,0.0006065,0.0006065
28,4498.4,1.50059,1.22921,1.6565,0.88686,0.84814,0.92402,0.54349,1.45491,0.79328,1.67842,0.00058175,0.00058175,0.00058175
29,4663.22,1.48192,1.17985,1.64272,0.89732,0.87458,0.93117,0.55056,1.43476,0.78136,1.67072,0.000557,0.000557,0.000557
30,4824.93,1.46641,1.15006,1.63248,0.91797,0.88008,0.93318,0.5472,1.43141,0.76365,1.67791,0.00053225,0.00053225,0.00053225
31,4988.9,1.44034,1.12111,1.61134,0.90672,0.88473,0.93657,0.53665,1.46502,0.77299,1.69409,0.0005075,0.0005075,0.0005075
32,5153.11,1.41522,1.10447,1.58692,0.92181,0.89334,0.94601,0.55602,1.4129,0.71894,1.65623,0.00048275,0.00048275,0.00048275
33,5317.55,1.41119,1.0901,1.58382,0.93678,0.8631,0.9342,0.55048,1.44491,0.73019,1.6822,0.000458,0.000458,0.000458
34,5480.64,1.39847,1.0493,1.56319,0.91452,0.88425,0.94045,0.5569,1.42544,0.72205,1.67499,0.00043325,0.00043325,0.00043325
35,5643.93,1.37924,1.03636,1.55482,0.91341,0.89402,0.94045,0.54963,1.44658,0.72325,1.67492,0.0004085,0.0004085,0.0004085
