epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.934,2.20168,3.33192,2.28485,0.56327,0.06127,0.03861,0.01334,2.7481,7.21247,3.06552,0.000416046,0.000416046,0.000416046
2,383.071,2.52886,3.70433,2.63309,0.34309,0.10399,0.04863,0.01408,2.54407,4.20811,2.82364,0.000816225,0.000816225,0.000816225
3,562.674,2.39915,3.55146,2.51146,0.14481,0.14564,0.09659,0.03719,2.39956,6.66444,2.67155,0.0011999,0.0011999,0.0011999
4,741.538,2.28206,3.23541,2.42071,0.26839,0.24765,0.14968,0.05034,2.13322,2.72291,2.41858,0.00117575,0.00117575,0.00117575
5,920.439,2.14963,2.93985,2.31706,0.35527,0.27434,0.2419,0.09168,2.09826,2.79377,2.39982,0.001151,0.001151,0.001151
6,1099.07,2.04869,2.71508,2.23306,0.53424,0.38665,0.4164,0.18617,1.95307,2.15562,2.34579,0.00112625,0.00112625,0.00112625
7,1278.22,1.99602,2.4892,2.18249,0.58607,0.4778,0.52412,0.23879,1.85824,1.84758,2.27062,0.0011015,0.0011015,0.0011015
8,1456.47,1.90165,2.31787,2.10844,0.545,0.49499,0.52696,0.24192,1.82505,1.87075,2.17948,0.00107675,0.00107675,0.00107675
9,1634.87,1.88444,2.1895,2.06479,0.63901,0.59487,0.66341,0.32046,1.71474,1.61645,2.13089,0.001052,0.001052,0.001052
10,1813.58,1.85335,2.09564,2.04704,0.67419,0.60704,0.65569,0.30883,1.69961,1.57042,2.07517,0.00102725,0.00102725,0.00102725
11,1992.06,1.80197,2.00847,1.99759,0.58599,0.57677,0.60455,0.28728,1.75781,1.68499,2.12303,0.0010025,0.0010025,0.0010025
12,2170.77,1.75531,1.8909,1.95815,0.81582,0.66348,0.78093,0.38232,1.62318,1.32625,1.97544,0.00097775,0.00097775,0.00097775
13,2349.38,1.74593,1.83993,1.94703,0.7999,0.70134,0.78659,0.38996,1.65767,1.28938,2.02938,0.000953,0.000953,0.000953
14,2528.24,1.70157,1.74831,1.91891,0.8013,0.70418,0.80547,0.41917,1.54278,1.25778,1.94928,0.00092825,0.00092825,0.00092825
15,2706.67,1.69002,1.66356,1.88547,0.75653,0.6725,0.76649,0.38392,1.65424,1.30759,2.01544,0.0009035,0.0009035,0.0009035
16,2885.24,1.64019,1.59618,1.8429,0.81852,0.78017,0.83807,0.43831,1.56881,1.1182,1.94166,0.00087875,0.00087875,0.00087875
17,3063.7,1.63576,1.54774,1.84743,0.838,0.76054,0.84287,0.43308,1.57756,1.11682,1.93738,0.000854,0.000854,0.000854
18,3242.26,1.6059,1.48729,1.79617,0.79574,0.77375,0.84133,0.44954,1.55954,1.1071,1.90449,0.00082925,0.00082925,0.00082925
19,3420.74,1.61309,1.45593,1.80749,0.85019,0.73916,0.83592,0.46497,1.53697,1.05806,1.88171,0.0008045,0.0008045,0.0008045
20,3599.46,1.56731,1.38506,1.7718,0.85907,0.7739,0.86447,0.4662,1.53896,1.0613,1.88102,0.00077975,0.00077975,0.00077975
21,3778.41,1.54919,1.35529,1.76213,0.9025,0.75709,0.86949,0.47327,1.49687,1.01589,1.84873,0.000755,0.000755,0.000755
22,3956.98,1.52943,1.29136,1.74342,0.87693,0.77981,0.87642,0.49282,1.49018,0.94729,1.85239,0.00073025,0.00073025,0.00073025
23,4135.69,1.50881,1.29413,1.73806,0.87628,0.84474,0.90757,0.51314,1.44985,0.89027,1.83801,0.0007055,0.0007055,0.0007055
24,4313.97,1.49029,1.24735,1.70697,0.89195,0.82957,0.90163,0.49946,1.48302,0.89145,1.82984,0.00068075,0.00068075,0.00068075
25,4492.11,1.47731,1.20361,1.69,0.92128,0.8633,0.92184,0.5212,1.46655,0.81353,1.80083,0.000656,0.000656,0.000656
26,4670.85,1.46678,1.18063,1.68522,0.90983,0.81472,0.90077,0.51143,1.4813,0.88186,1.81747,0.00063125,0.00063125,0.00063125
27,4849.47,1.44253,1.14188,1.65969,0.9099,0.85416,0.92587,0.53481,1.42717,0.80058,1.78895,0.0006065,0.0006065,0.0006065
28,5028.08,1.41998,1.11023,1.64781,0.90841,0.84367,0.92218,0.54533,1.41041,0.79217,1.76178,0.00058175,0.00058175,0.00058175
29,5206.59,1.38848,1.05796,1.61933,0.94007,0.81681,0.91553,0.53741,1.41998,0.78995,1.77548,0.000557,0.000557,0.000557
30,5385.11,1.38355,1.07151,1.61561,0.93412,0.85441,0.92462,0.54754,1.39886,0.75419,1.75852,0.00053225,0.00053225,0.00053225
31,5563.59,1.36205,1.01836,1.5965,0.93209,0.8709,0.9359,0.55142,1.39573,0.7322,1.76194,0.0005075,0.0005075,0.0005075
32,5741.94,1.33089,0.99584,1.57107,0.93426,0.8671,0.9392,0.54793,1.37941,0.74387,1.7579,0.00048275,0.00048275,0.00048275
33,5920.22,1.33864,0.99388,1.58456,0.93216,0.8661,0.93192,0.54427,1.40469,0.73361,1.77771,0.000458,0.000458,0.000458
34,6098.46,1.30537,0.96485,1.55457,0.93504,0.88737,0.9498,0.5604,1.37791,0.70754,1.765,0.00043325,0.00043325,0.00043325
35,6277.19,1.28917,0.93777,1.54106,0.92989,0.86358,0.92757,0.55519,1.40122,0.724,1.76234,0.0004085,0.0004085,0.0004085
36,6455.34,1.28823,0.92517,1.52718,0.94237,0.86311,0.93716,0.56731,1.37108,0.68057,1.75413,0.00038375,0.00038375,0.00038375
37,6633.95,1.26799,0.90367,1.5147,0.95233,0.89213,0.94931,0.5711,1.36265,0.6635,1.74956,0.000359,0.000359,0.000359
38,6812.71,1.24404,0.88355,1.50029,0.92951,0.89581,0.94494,0.56521,1.36877,0.68888,1.74237,0.00033425,0.00033425,0.00033425
39,6991.08,1.22408,0.859,1.47575,0.91703,0.90328,0.93792,0.56463,1.36606,0.69244,1.75851,0.0003095,0.0003095,0.0003095
40,7169.46,1.21399,0.85337,1.4735,0.946,0.89291,0.94968,0.57247,1.3428,0.67311,1.72992,0.00028475,0.00028475,0.00028475
41,7348.65,1.15324,0.67693,1.51109,0.93702,0.88721,0.93762,0.57111,1.36934,0.66967,1.75138,0.00026,0.00026,0.00026
42,7527,1.11892,0.64128,1.48043,0.96948,0.88809,0.94981,0.5771,1.34396,0.64424,1.72278,0.00023525,0.00023525,0.00023525
43,7705.4,1.0969,0.61907,1.46333,0.95015,0.87272,0.9341,0.5792,1.33827,0.64895,1.73634,0.0002105,0.0002105,0.0002105
44,7884.11,1.06557,0.5899,1.44602,0.94367,0.89022,0.94116,0.58322,1.34038,0.63004,1.74287,0.00018575,0.00018575,0.00018575
45,8062.66,1.04668,0.58654,1.42426,0.95429,0.88113,0.94462,0.58209,1.33731,0.62183,1.73768,0.000161,0.000161,0.000161
46,8240.9,1.01984,0.56036,1.39214,0.94127,0.90532,0.95455,0.58702,1.34441,0.62998,1.74972,0.00013625,0.00013625,0.00013625
47,8419.6,1.00648,0.54801,1.38582,0.95447,0.90188,0.95112,0.58552,1.34752,0.62855,1.76358,0.0001115,0.0001115,0.0001115
48,8597.81,0.97686,0.53069,1.36099,0.95364,0.89274,0.94995,0.58853,1.3428,0.61889,1.75862,8.675e-05,8.675e-05,8.675e-05
49,8776.13,0.95683,0.52086,1.34508,0.96412,0.89147,0.94881,0.58347,1.35398,0.62067,1.77443,6.2e-05,6.2e-05,6.2e-05
50,8953.84,0.94951,0.51525,1.34005,0.96453,0.89205,0.95192,0.58907,1.3357,0.61036,1.75898,3.725e-05,3.725e-05,3.725e-05
